,Channel_name,Subscribers_Count,Total_Views_Count,Total_Videos,DateStarted,playlist_id
0,지현꿍,2750000,256153834,117,2019-05-26,UUyG7zAV_2JlPnxhwDxZN6sA
1,Nebom 사계절의 네봄,1160000,100430075,117,2018-05-02,UU6NrrEp1e3-A51SSinM3Y-Q
2,滇西小哥 Dianxi Xiaoge,8840000,2576337378,270,2018-07-25,UUQG_fzADCunBTV1KwjkfAQQ
3,deemd 딤디,875000,96760511,175,2017-09-06,UUrFlv9c4LItVlIMCC2p6LOg
4,매일맛나 delicious day,3760000,339511383,248,2019-09-05,UUFiYPUhUzLKoi-cZ0AwpjLA
5,쿠킹하루 Cooking Haru :),1630000,196491395,137,2019-09-28,UUC8bTxyN2ZCfMzS_JAEClfA
6,꿀주부 Honeyjubu,1470000,113962093,121,2019-12-23,UUg_xrQ9KMN7wL4moBwuxZWw
7,효뎡 Dyeong,704000,80823075,115,2017-10-05,UUvsp8e2LrbUAuE5oLHrBQ_Q
8,野小妹wild girl,743000,196976275,141,2019-07-27,UUf8zNN8N7U2BEm4WBQnWBIw
9,세리티 Serity,452000,29797475,102,2020-02-20,UUSD0MKMFT0bZP4jj6c5ihMw
10,로하Roha,615000,95394984,149,2019-09-02,UUrRn4Vat9iyUGtl6jPjG3IA
11,Namiのくらし,804000,109019019,130,2019-09-27,UU_RDtmUq7RISJ4mFKAhjzTg
12,우리의식탁 W TABLE,1220000,98571520,411,2015-04-24,UUStb6xqP228XXUykrrY-_CQ
13,闽湖阿嬤Fujian Grandma,121000,38324779,192,2020-12-23,UUA9n787LX5srHH-KTv_yZ9Q
14,냥숲nyangsoop,914000,51625244,84,2018-06-08,UUrailkufB1aKrKc6l1osRgw
15,야미보이 Yummyboy,6620000,2554024448,957,2018-12-08,UUiiV8stcewhoCNyiErr7GtA
