,Title,Publish_Date,Views,Likes,Comments,Identity
0,"vlog | 식욕폭발 뜨끈한 쭈꾸미 샤브샤브, 퇴근하고 김치만두, 콘치즈 식빵, 제철 식재료로 향긋한 미나리무침, 미역국 레시피 (feat. 달다방)",2022-05-27,422903,13340,449,지현꿍
1,"vlog | 주말일상  달달한 사과잼으로 애플파이, 불고기 샌드위치, 소소한 홈파티, 크로플 맛집 카페, 차돌박이 된장찌개",2022-05-24,498482,17926,509,지현꿍
2,"vlog | 소고기육전과 파절이, 마트에서 장보고 치즈 닭갈비, 치아바타 샌드위치와 한라봉에이드, 의류 브랜드 대표 일상",2022-05-16,523446,18200,460,지현꿍
3,"vlog | 얼큰한 김치수제비, 디자인 회의 후 회덮밥, 의류브랜드 대표 일상, 마트에서 장보고 골뱅이 무침, 장어덮밥, 운동 끝나고 엽떡 ...",2022-05-07,600491,19431,549,지현꿍
4,"vlog | 크로와상 샌드위치, 연어스테이크, 의류브랜드 대표 일상, 퇴근 후 오삼불고기와 계란말이, 카페에서 티코스 즐기기",2022-04-25,734066,23666,649,지현꿍
5,"vlog | 다코야끼 만들며 홈파티 크레페로 브런치, 비빔국수, 갈비탕, 공장 미팅 후 야채곱장, 남자친구랑 벚꽃 나들이",2022-04-15,693548,21899,593,지현꿍
6,"vlog | 문어오일파스타  퇴근 후 새우알칩 튀겨서 라임맥주 한잔, 인도네시아 나시고렝, 딸기요거트, 요즘 읽고 있는 책",2022-04-09,604468,21784,904,지현꿍
7,"vlog | 전복크림리조또, 오이양배추 피클  비오는 날 불닭 짬뽕, 복숭아스무디, 산딸기요거트만들어먹고 출근, 작업실에서 보내는 일상",2022-03-31,978929,31592,707,지현꿍
8,"vlog | 핫케이크와 명란아보카도 덮밥만들어 먹으며 보낸 주말일상, 운동 후 닭가슴살 샌드위치, 모히또, 수건 예쁘게 정리하는 법, 공휴일엔 파스타와 스테이크",2022-03-20,1106117,36169,837,지현꿍
9,"vlog | 숙소에서 라면, 샐러드파스타요즘 푹빠진 콩나물밥레시피, 가자미간장조림, 짧은 겟레디윗미, 달달한 도넛 + 라떼와 함께 주말 보내는 일상",2022-03-08,661094,22061,597,지현꿍
10,"Vlog | 호텔에서 애프터눈티 세트  새해맞이 떡국, PT다녀온 후 통밀빵 샌드위치, 퇴근 후 짬뽕, 도시락으로 스팸마요, 여성 의류 디자인, 직장인 브이로그",2022-02-20,834224,28171,800,지현꿍
11,"vlog | 출근 도시락으로 두부 동그랑땡, 설 연휴동안 냉장고털기 마파두부덮밥 먹고 스터디카페, 가지파스타와 또띠아피자 만들어먹으며 보낸 소소한 자취일상(with 지연이즈)",2022-02-10,785666,24825,690,지현꿍
12,"vlog | 홈웨어 샘플 수정하고 원단 고르기, 두툼한 돈까스 샌드위치, 가자미카레덮밥 만들어먹고 출근, 퇴근 후 김치찜, 야식으로 비빔면먹으며 보낸 소소한 자취 일상",2022-02-01,786779,25835,725,지현꿍
13,"vlog | 매콤한 오징어덮밥 겨울엔 굴파스타와 굴전, 애플망고요거트, 도시락으로 피망동그랑땡, 브랜드 론칭 준비하며 보낸일상, 생일선물 언박싱",2022-01-22,953508,28391,833,지현꿍
14,"vlog | 연어베이글 샌드위치와 망고라떼,김치낙지죽, 홈웨어 디자인 샘플 피팅, 출근도시락(깻잎쌈밥, 매콤참치마요주먹밥, 부추계란말이, 애호박볶음) ,작업실 일상",2022-01-12,1026732,32646,806,지현꿍
15,"vlog | 딸기크로와상, 꼬막비빔밥, 소고기전골 홈웨어 디자인, 원단, 달달한 애플망고청, 출근도시락(떡갈비, 대왕계란말이)",2022-01-04,1515837,44019,819,지현꿍
16,"vlog | 크리스마스 트리, 연말 준비출근 전 도시락(스팸주먹밥, 소불고기,어묵볶음)  장보고 뜨끈한 순대국밥, 부추무침, 귀여운 소품샵 투어, 소품 언박싱",2021-12-24,1030521,28814,710,지현꿍
17,"vlog | 출근 전 훈제오리또띠아롤, 매콤한 로제떡볶이, 과일주스 추천,봉골레파스타와 버터관자구이, 출근 전 도시락 (연어주먹밥,김치볶음밥)",2021-12-17,1073852,32674,710,지현꿍
18,"vlog | 퇴근 후 장보기 연어장 만들어서 연어덮밥, 매콤한 순대볶음과 치아바타샌드위치, 작업실 일상, 출근 전 도시락(매콤참치마요, 멸치볶음밥, 고기야채말이, 겉절이)",2021-12-15,1480896,37127,896,지현꿍
19,"vlog |  겨울 맞이 굴보쌈과 무김치, 몬테크로스토 샌드위치,  새 작업실에서 보내는 일상, 카레와 치킨텐더, 마트에서 장보고 도시락(유부초밥과 연어구이, 표고버섯볶음)",2021-12-08,1294161,36818,814,지현꿍
20,"그릭요거트와 함께 즐길 수 있는 과일토핑, 그래놀라 런칭 | Iukt X 지현꿍",2021-11-30,647242,20994,959,지현꿍
21,"vlog | 마트에서 장보고 브런치 즐기기 국산 콩으로 만든 쿠키, 화이트와인과 타코 콩고기 만들어서 미트볼 파스타, 회의준비하는 일상",2021-11-29,939900,28893,795,지현꿍
22,"vlog | 사무실이사, 과카몰리샌드위치따듯한 조개탕과 삼치조림,좋아하는 책 추천, 깐풍삼겹덮밥, 요거트와 잘 어울리는 조합",2021-11-25,971694,32809,835,지현꿍
23,"vlog | 베이컨고구마롤 묵은지 닭볶음탕,회의 준비, 도시락(생선까스, 날치알후라가케주먹밥, 숙주무침) 사무실 이사 준비, 딸기요거트",2021-11-15,1297555,41026,1271,지현꿍
24,"vlog | 래디쉬피클  킹타이거 새우버터구이와 알리오올리오파스타, momur 그릇 언박싱, 요즘 읽고 있는 책 추천, 도시락(훈제오리볶음밥, 수제동그랑땡)",2021-11-07,1129208,36352,1141,지현꿍
25,"vlog | 마트에서 장보고 길거리토스트  출근 도시락(가지덮밥, 베이컨계란말이) 새노트북과 함께하는 작업실 일상, 미팅 끝나고 치킨과 떡볶이, 퇴근 후 김치찌개",2021-11-05,1044492,35043,1032,지현꿍
26,"vlog | 크림감자뇨끼 황금향청 만들고 도시락(카레볶음밥, 매콤감자조림, 가자미구이) 아침으로 단호박샐러드",2021-10-28,2738589,64514,1354,지현꿍
27,"vlog | 퇴근 후 갈비찜, 궁중떡볶이 작업실 일상, 점심 도시락으로 간단한 간장계란볶음밥, 만능간장소스 활용한 레시피",2021-10-18,1360997,37354,1725,지현꿍
28,"vlog | 생크림 만들어서 크로플치즈가리비구이, 김치나베돈까스, 해물칼국수, 퇴근하고 장보는 일상, 출근도시락(베이컨말이, 낫또계란말이, 쥬키니볶음), 후추 택배 언박싱",2021-10-16,1589580,46377,1355,지현꿍
29,"vlog | 게살로제파스타  꽃게탕, 점심도시락으로 김밥, 퇴근 후 카페, 공원 산책, 복숭아조림 만들어먹으며 보낸 자취생 일상",2021-10-07,1592457,46976,1534,지현꿍
30,"vlog | 출근 전 요거트, abc쥬스 대실패, 퇴근 후 매콤어묵  새 냄비 구입, 점심도시락 싸는 자취생 일상",2021-09-27,1587680,48543,1495,지현꿍
31,애정을 듬뿍 담아서 만든 home wear launching ,2021-09-17,416408,15494,1012,지현꿍
32,"vlog | 장보고 치킨브런치로 에그인헬과 바게트, 새 화장대, 작업실출근, 도시락(계란주먹밥, 닭강정, 두부브로콜리)",2021-09-16,2238943,64921,1747,지현꿍
33,"vlog | 8월 마지막 주 일상, 후르츠청, 스튜디오 촬영, 퇴근 후 전복버터구이와 가지파스타, 도시락(김치볶음밥)싸서 출근",2021-09-02,1374269,40674,1722,지현꿍
34,"vlog | 출근 전 점심도시락  꽃다발 정리, 퇴근 후 고등어무조림과 솥반, 햇반 안심박스 언박싱(유료광고 포함)",2021-08-25,1000592,33446,1623,지현꿍
35,"vlog | 우당탕탕 후추랑  택배언박싱, 아보카도 오픈 샌드위치 먹고 공부하러 가는 일상, 낙지볶음, 날치알주먹밥, 시금치덮밥, 도시락(호박잎, 두부쌈장, 명란계란말이)",2021-08-19,1834188,57951,2147,지현꿍
36,이름 부르면 대답하는 ❤‍(A cat that answers when you call a name),2021-08-18,282081,18349,431,지현꿍
37,"vlog | 차돌박이 버섯찜 시금치파스타, 점심도시락(목살필라프), 카카오웹툰추천 (유료광고포함)",2021-08-16,1258112,41893,2032,지현꿍
38,"vlog |  이사한 집에서 보내는 일상, 가구 구경, 외식, 마트에서 장보고 옥수수스프, 캘리포니아롤, 얼음동동 메밀소바",2021-08-04,2609300,82896,3952,지현꿍
39,"vlog | 여름맞이 자두청  멘보샤, 토마토계란볶음, 덮밥, 피클, 점심도시락싸며 보낸 일상, 디저트 맛집 카페투어",2021-07-25,2294697,62131,2628,지현꿍
40,"vlog | 마트에서 장보고  플럼코트요거트, 두부전골, 감자샐러드 샌드위치, 작업실 일상루틴, 점심도시락(돈까스마요덮밥, 어묵볶음, 양배추김치)",2021-07-14,1920553,56855,2611,지현꿍
41,"vlog | 잠옷미팅 살구잼 만들어서 베이글 샌드위치, 하트맛살전 도시락, 양배추김치, 카페에서 미팅준비",2021-07-06,1800393,52039,2545,지현꿍
